"linhagem","qual_menor","qual_maior","tstv_menor","tstv_maior"
"01_ARG_91191",104.77,314.77,2,2.11
"02_ARG_V2D-05-566",104.77,128.77,2,2.1
"03_ARG_V2A",42.77,46.77,2.02,2.08
"04_ARG_4303",38.77,44.77,1.99,2.09
"05_ARG_534",62.77,102.77,1.98,2.1
"06_ARG_91193",50.77,58.77,2.04,2.1
"07_ARG_91192",52.74,128.74,2.02,2.1
"08_BRA_45-08B",51.74,65.74,2.01,2.1
"09_BRA_18-08C",52.74,70.74,1.99,2.08
"10_BRA_07-08",30.74,38.74,2,2.05
"12_BRA_61-09",60.74,70.74,2,2.09
"13_BRA_32-08",50.77,58.77,1.99,2.09
"14_BRA_49-09",156.74,204.74,2,2.11
"16_BRA_08-08BF2",38.74,38.74,1.88,1.88
"17_BRA_33",80.74,88.74,2.05,2.1
"20_BRA_50",48.77,48.77,2.1,2.1
"28_BRA_35",86.74,94.74,2,2.08
"30_BRA_268",76.77,100.77,2.46,2.16
"33_BRA_AN5",184.74,240.74,2.01,2.11
"34_BRA_0822-11",174.74,454.74,2,2.1
"USA_02_6316_S6",108.74,128.74,2.01,2.09
"USA_04-1858_S3",144.74,162.74,2,2.1
"USA_08-1086_S8",188.74,240.74,2,2.09
"USA_08-1930",492.74,512.74,2.01,2.09
"USA_08-4364",338.77,358.77,2,2.1
"USA_10-1862_S5",132.77,158.77,2,2.1
"USA_10-7070",582.77,628.77,2,2.1
"USA_10-7911_S8",260.74,302.74,2,2.1
"USA_12-5092_S3",2436.77,3328.77,2.01,2.1
"USA_95_01315_S6",168.77,236.77,2,2.1
"USA_98-0251",152.77,186.77,2,2.09
